"Song title","Coefficient","Std. Error","t value","Pr(>|t|)"
"DIAVOLO[A]","1.02814678179295","0.0532365768257343","19.3127891216316","3.01979725995955e-09"
"dica dica[A]","0.787404387323025","0.0664037575473502","11.8578287796674","3.26764540965114e-07"
"DOMINION[A]","0.845063919707666","0.0588048014365459","14.3706619028302","5.27450246182242e-08"
"Don't believe the hype[A]","0.72670872694039","0.0601096443844389","12.0897192851888","2.72368193267904e-07"
"DORNWALD ～Junge～[A]","0.990477443064335","0.0336963310810297","29.3942221983317","4.84812423134499e-11"
"Double Dribble[A]","0.703876094784902","0.0572013809328333","12.3052290575188","2.30598044025505e-07"
"Dr. Chemical & Killing Machine[A]","0.881027997835753","0.0376067858319178","23.4273676504415","4.54904912716365e-10"
"Drastic Dramatic[A]","0.955521593787446","0.0235402444845913","40.5909800305134","1.97133388999305e-12"
"DropZ-Line-[A]","0.552140257323771","0.0637948700342772","8.65493192520189","5.87282961600138e-06"
"DRUNK MONKY[A]","0.736647698089665","0.0315484539881108","23.3497241534331","4.70003078421947e-10"
"DUAL STRIKER[A]","0.823657139274566","0.0457481165154767","18.0041759532531","5.98243627042307e-09"
"DUE TOMORROW[A]","0.724739843466875","0.0638864089015184","11.3441944214468","4.94695365589522e-07"
"Dynamite[A]","0.933640076190934","0.0457195785382895","20.4210123111486","1.75046075785015e-09"
"EBONY & IVORY[A]","0.878336875441271","0.0404064538889722","21.7375392023943","9.49086201179386e-10"
"EBONY & IVORY[L]","0.940230442933258","0.0398252339497999","23.6089119807414","4.21639900827632e-10"
"ECHIDNA[A]","0.848063634287206","0.0415498922205338","20.4107300636534","1.75910867106049e-09"
"Elektrick U-Phoria[L]","0.704561935013207","0.0503946036122515","13.9809004240669","6.86126492616355e-08"
"Elemental Creation[A]","0.902370800767904","0.0543712235357489","16.5964777337519","1.31807792932753e-08"
"EMERALDAS[A]","0.854677678881885","0.0578949943980895","14.7625487793482","4.07530806037439e-08"
"Empire of Fury[A]","0.809949497446425","0.0548877767504949","14.7564639232563","4.09146483540323e-08"
"encounter[A]","0.87695211793955","0.0240938729229452","36.3973081764039","5.82690905790117e-12"
"entelecheia[A]","0.846844966636512","0.0327815735096995","25.8329566268668","1.7368029028137e-10"
"eRAseRmOToRpHAntOM[A]","0.71596711735816","0.0364488797679031","19.6430486181537","2.55901680235534e-09"
"EROICA[A]","1.05399149821892","0.0366957375080671","28.7224503387406","6.09397925705158e-11"
"EVANESCENT[A]","0.835039498827483","0.039807776701475","20.9767931801261","1.34577863854758e-09"
"Evans[A]","0.726221109274026","0.0603417386444777","12.035137296139","2.84216108092393e-07"
"Everlasting Message[A]","0.863370273061235","0.0464556934046167","18.5848108119173","4.39235911084575e-09"
"EXUSIA[A]","0.762405053605412","0.0631688346423734","12.0693227589479","2.76731160101325e-07"
"FAKE TIME[A]","0.656878842290365","0.0547015178806188","12.0084207484689","2.90219909508445e-07"
"fallen leaves -IIDX edition-[A]","0.812847101667086","0.0362702234290677","22.4108655756351","7.03504404265524e-10"
"FANTASTIC THREE[A]","0.716004721827867","0.0764400695248474","9.36687690472501","2.88513548972848e-06"
"Fascination MAXX[A]","0.699088070005425","0.0765660959142399","9.13051738707507","3.6349138513777e-06"
"Feel The Beat[A]","0.789291425540337","0.0344580490586227","22.9058651636816","5.67608038072497e-10"
"Feel The Beat[L]","0.984133044070278","0.0606024274928463","16.2391687063435","1.62690057758027e-08"
"Fegrix[A]","0.792761192443243","0.0496487121865631","15.9674069583983","1.91495644617663e-08"
